task,searchTarget,n_trials,model,loglik,aic,bic,param_v0,param_v_log_slope,param_B,param_nondectime,v4,v8,v16,param_a4,param_a8,param_a16
target present,illusory face,130.0,A,-20.31419508950787,48.62839017901574,60.09852798083807,3.2283188779876877,-0.3138794419681387,1.8035532482094663,0.10072124278453604,2.793189577515799,2.575624927279855,2.3580602770439105,,,
target present,illusory face,130.0,B,-19.110500670016258,50.221001340032515,67.426208042766,3.461787141205535,-0.4109522632715668,,0.10182606677003708,2.892086335942705,2.60723593331129,2.3223855306798757,1.9423027794132155,1.7004134315558201,1.8405391186661257
,,,,,,,,,,,,,,,,
target present,nonface object,119.0,A,-16.75146887556944,41.50293775113888,52.619431723584995,4.793686008722064,-0.9686954673518556,2.1083378412615557,0.12560091106365656,3.4507889446897897,2.7793404126736525,2.107891880657515,,,
target present,nonface object,119.0,B,-16.650031628721607,45.30006325744321,61.97480421611239,4.645414570716202,-0.898291337433083,,0.12507342762979134,3.400118354989874,2.7774702471267103,2.1548221392635463,2.0895328181035673,2.0620388594953547,2.1713316865909853
,,,,,,,,,,,,,,,,
target present,real face,127.0,A,53.557103358066854,-99.11420671613371,-87.73745837029935,4.256715744989479,-0.5989058864218768,1.0124354686245494,0.3093085527219882,3.4264558918013215,3.0113259652072424,2.596196038613164,,,
target present,real face,127.0,B,54.781035731038,-97.562071462076,-80.49694894332445,3.3505327767318773,-0.172458896408866,,0.31381899724475215,3.1114539811153072,2.9919145833070218,2.8723751854987367,0.8920567705741216,1.0088471836757378,1.1044106462453473
,,,,,,,,,,,,,,,,
target absent,illusory face,119.0,A,-81.38489062140579,170.76978124281158,181.88627521525768,-1.893573241609217,-1e-06,2.073019172540024,0.10008612305790782,-1.8935746279035781,-1.8935753210507587,-1.8935760141979392,,,
target absent,illusory face,119.0,B,-76.54294076129173,165.08588152258346,181.76062248125265,-1.984094029155604,-1e-06,,0.10064213905379232,-1.984095415449965,-1.9840961085971456,-1.9840968017443261,1.902936724708851,2.0618255999161845,2.5105114418358885
,,,,,,,,,,,,,,,,
target absent,nonface object,115.0,A,-80.17713234404735,168.3542646880947,179.3339932015477,-1.8670754330905104,-1e-06,2.1450926371130143,0.18093090088271507,-1.8670768193848715,-1.867077512532052,-1.8670782056792325,,,
target absent,nonface object,115.0,B,-59.48862994697066,130.97725989394132,147.44685266412083,-2.0542495415830673,-1e-06,,0.304800602590366,-2.0542509278774284,-2.054251621024609,-2.0542523141717894,1.5404399379826639,2.1065536209219635,3.0
,,,,,,,,,,,,,,,,
target absent,real face,132.0,A,-32.375925231498435,72.75185046299687,84.28305815334235,-2.3049831147910855,-1e-06,1.6556779442930778,0.21654026591933728,-2.3049845010854466,-2.304985194232627,-2.3049858873798077,,,
target absent,real face,132.0,B,-5.997107148535948,23.994214297071895,41.29102583259012,-2.5736641128383964,-1e-06,,0.30613081211028226,-2.5736654991327574,-2.573666192279938,-2.5736668854271185,1.0961567427972678,1.716749431309284,2.1186939707810524
